name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion,PPUM
CHOC. SAHNE NUSS BIT. 15x250,CHOCOLATES,0303109,6430,0,https://www.cencocal.cl/imagenes/0303109.jpg,,$25720 POR KG
CHOC. SAHNENUSS 15X250,CHOCOLATES,030310K,6100,0,https://www.cencocal.cl/imagenes/030310K.jpg,,$24400 POR KG
CHOC. TRENCITO GDE. 14X150,CHOCOLATES,0303577,3430,0,https://www.cencocal.cl/imagenes/0303577.jpg,,$22867 POR KG
LUCCHETTI N1 LARGO 25x400gr,FIDEOS,0400017,790,0,https://www.cencocal.cl/imagenes/0400017.jpg,,$1975 POR KG
LUCCHETTI N 5 25X400,FIDEOS,0400033,790,36,https://www.cencocal.cl/imagenes/0400033.jpg,,$1975 POR KG
LUCCHETTI # 5 3 SABORES 25X400,FIDEOS,0400106,1090,44,https://www.cencocal.cl/imagenes/0400106.jpg,,$2725 POR KG
LUCCHETTI #48 3 SABORES 30X400,FIDEOS,0400114,1090,4,https://www.cencocal.cl/imagenes/0400114.jpg,,$2725 POR KG
LUCCHE. ESPIRALES 3SAB 30x400g,FIDEOS,0400122,1090,39,https://www.cencocal.cl/imagenes/0400122.jpg,,$2725 POR KG
LUCCHETTI N 77 25X400,FIDEOS,0400211,1204,10,https://www.cencocal.cl/imagenes/0400211.jpg,,$3010 POR KG
LUCCHETTI N 78 25X400,FIDEOS,0400220,790,55,https://www.cencocal.cl/imagenes/0400220.jpg,,$1975 POR KG
LUCCHETTI SEMOLA 40X250,NUTRINAS-SEMOLAS-MAIZENAS,0400262,859,114,https://www.cencocal.cl/imagenes/0400262.jpg,,$3436 POR KG
SOPA NATUR. POSTA CABE. 18x55g,INSTANTANEOS Y SOPAS,0400301,390,61,https://www.cencocal.cl/imagenes/0400301.jpg,,$7091 POR KG
SOPA NATUR. POLLO FID. 18x55g,INSTANTANEOS Y SOPAS,040030K,390,0,https://www.cencocal.cl/imagenes/040030K.jpg,,$7091 POR KG
SOPA NATUR. POLLO ARR. 18x55g,INSTANTANEOS Y SOPAS,0400319,390,4,https://www.cencocal.cl/imagenes/0400319.jpg,,$7091 POR KG
CREMA NATUR. ESPARRAGO 18x60g,INSTANTANEOS Y SOPAS,0400335,390,10,https://www.cencocal.cl/imagenes/0400335.jpg,,$6500 POR KG
