name;category_ids;sku;regular_price;stock;image_id/gallery_image_ids;descripcion;ppum
LECHE CONDENSADA TARRO 48X397;REPOSTERIA;200018;1930;267;https://www.cencocal.cl/imagenes/0200018.jpg;;$1000 x KG
ECCO CEBADA 24x50g;CAFE Y CEBADA;200263;1410;0;https://www.cencocal.cl/imagenes/0200263.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24x50g;CAFE Y CEBADA;200328;2130;31;https://www.cencocal.cl/imagenes/0200328.jpg;;$1000 x KG
MILO ACTIGEN TIRA 6x20x28gr;SABORIZANTES;200346;9310;142;https://www.cencocal.cl/imagenes/0200346.jpg;;$1000 x KG
NESCAFE TRADICION TARRO 24X170;CAFE Y CEBADA;200387;7530;61;https://www.cencocal.cl/imagenes/0200387.jpg;;$1000 x KG
MILO 24 X 300.;SABORIZANTES;200395;3410;63;https://www.cencocal.cl/imagenes/0200395.jpg;;$1000 x KG
ECCO 24 X 100;CAFE Y CEBADA;200417;2360;54;https://www.cencocal.cl/imagenes/0200417.jpg;;$1000 x KG
ECCO 24 X 170;CAFE Y CEBADA;200425;3200;112;https://www.cencocal.cl/imagenes/0200425.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24 X 100;CAFE Y CEBADA;200433;4130;37;https://www.cencocal.cl/imagenes/0200433.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24 X 170;CAFE Y CEBADA;200441;5330;3;https://www.cencocal.cl/imagenes/0200441.jpg;;$1000 x KG
NESQUIK CHOCOLATE 14x400;SABORIZANTES;200492;2930;22;https://www.cencocal.cl/imagenes/0200492.jpg;;$1000 x KG
POLVO IMPERIAL SOBRE 6x12x100g;REPOSTERIA;200506;1051;0;https://www.cencocal.cl/imagenes/0200506.jpg;;$1000 x KG
SOPA MAGGI POLLO/FIDEOS 20x70g;INSTANTANEOS Y SOPAS;200620;620;0;https://www.cencocal.cl/imagenes/0200620.jpg;;$1000 x KG
SOPA MAGGI POLLO/ARROZ 20x70g;INSTANTANEOS Y SOPAS;200638;620;0;https://www.cencocal.cl/imagenes/0200638.jpg;;$1000 x KG
SOPA MAGGI CARACOLITO 16x76g;INSTANTANEOS Y SOPAS;200646;620;0;https://www.cencocal.cl/imagenes/0200646.jpg;;$1000 x KG
CREMA MAGGI ESPARRAGO 20x68g;INSTANTANEOS Y SOPAS;020070K;650;7;https://www.cencocal.cl/imagenes/020070K.jpg;;$1000 x KG
CREMA MAGGI POLLO 20x72g;INSTANTANEOS Y SOPAS;200735;650;0;https://www.cencocal.cl/imagenes/0200735.jpg;;$1000 x KG
CREMA MAGGI CHOCLO 20x79g;INSTANTANEOS Y SOPAS;200743;650;6;https://www.cencocal.cl/imagenes/0200743.jpg;;$1000 x KG
TUCO TOMATE CON CARNE 24X245GR;SALSA DE TOMATE;200778;1720;118;https://www.cencocal.cl/imagenes/0200778.jpg;;$1000 x KG
NESCAFE LATA 24 X 100;CAFE Y CEBADA;200867;5150;80;https://www.cencocal.cl/imagenes/0200867.jpg;;$1000 x KG
SOPA MAGGI POLLO/SEMOLA 20x68g;INSTANTANEOS Y SOPAS;200891;620;0;https://www.cencocal.cl/imagenes/0200891.jpg;;$1000 x KG
SOPA MAGGI COSTILLA 20x60g;INSTANTANEOS Y SOPAS;200913;620;0;https://www.cencocal.cl/imagenes/0200913.jpg;;$1000 x KG
CALDO MAGGI AVE 36x48x11gr;CALDOS Y BASES;200921;5780;4;https://www.cencocal.cl/imagenes/0200921.jpg;;$1000 x KG
CALDO MAGGI CARNE 36x48x10gr;CALDOS Y BASES;200930;5780;5;https://www.cencocal.cl/imagenes/0200930.jpg;;$1000 x KG
CALDO MAGGI COSTILLA 36x48x11gr;CALDOS Y BASES;200948;5180;9;https://www.cencocal.cl/imagenes/0200948.jpg;;$1000 x KG
NESCAFE DECAF 24X170 GR.;CAFE Y CEBADA;200972;10220;42;https://www.cencocal.cl/imagenes/0200972.jpg;;$1000 x KG
NESCAFE GRANULADO 77x96x1.8g;CAFE Y CEBADA;020099K;12430;0;https://www.cencocal.cl/imagenes/020099K.jpg;;$1000 x KG
MANJAR NESTLE BOLSA 48x200g;MANJAR;201006;1204;24;https://www.cencocal.cl/imagenes/0201006.jpg;;$1000 x KG
CALDO MAGGI VERDURA 36x48x11gr;CALDOS Y BASES;020103K;5810;148;https://www.cencocal.cl/imagenes/020103K.jpg;;$1000 x KG
MANJAR NESTLE 12 X 1;MANJAR;201065;3790;114;https://www.cencocal.cl/imagenes/0201065.jpg;;$1000 x KG
MANJAR NESTLE 24 X 500.;MANJAR;201090;2876;26;https://www.cencocal.cl/imagenes/0201090.jpg;;$1000 x KG
CALDO GOUR. CARNE 18x6u;CALDOS Y BASES;201500;599;200;https://www.cencocal.cl/imagenes/0201500.jpg;;$1000 x KG
CALDO GOUR. POLLO 18x6u;CALDOS Y BASES;201501;599;151;https://www.cencocal.cl/imagenes/0201501.jpg;;$1000 x KG
CALDO GOUR. VERDURAS 18x6u;CALDOS Y BASES;201503;599;233;https://www.cencocal.cl/imagenes/0201503.jpg;;$1000 x KG
CALDO GOUR. SAZON.ARROZ 18x6u;CALDOS Y BASES;201504;599;152;https://www.cencocal.cl/imagenes/0201504.jpg;;$1000 x KG
SALSA DE SOYA LA PRIMERA 6x1L;ADEREZOS Y SALSAS;201505;2224;15;https://www.cencocal.cl/imagenes/0201505.jpg;;$1000 x KG
SALSA DE SOYA LA PRIMER 15x250;ADEREZOS Y SALSAS;201506;650;63;https://www.cencocal.cl/imagenes/0201506.jpg;;$1000 x KG
ESENCIA VAINILLA PRIMERA 6x1l;REPOSTERIA;201507;1673;0;https://www.cencocal.cl/imagenes/0201507.jpg;;$1000 x KG
ESENCIA VAINI. PRIMERA 15x250;REPOSTERIA;201508;714;28;https://www.cencocal.cl/imagenes/0201508.jpg;;$1000 x KG
CALDO GOUR. COSTILLA 18x6u;CALDOS Y BASES;201510;599;201;https://www.cencocal.cl/imagenes/0201510.jpg;;$1000 x KG
SALSA P/UNT YOG/CIB LIG 12x200;COCTEL Y OTROS SNACKS;201513;1561;7;https://www.cencocal.cl/imagenes/0201513.jpg;;$1000 x KG
SALSA P/UN AJO/OREG LIG 12x200;COCTEL Y OTROS SNACKS;201515;1561;8;https://www.cencocal.cl/imagenes/0201515.jpg;;$1000 x KG
CALDO GOUR.TOCIN/AJO/CEB.18x6u;CALDOS Y BASES;201520;599;186;https://www.cencocal.cl/imagenes/0201520.jpg;;$1000 x KG
SALSA FRAMBUESA GOURMET 14x280;REPOSTERIA;201530;2122;19;https://www.cencocal.cl/imagenes/0201530.jpg;;$1000 x KG
SALSA CHOCOLATE GOURMET 14x280;REPOSTERIA;201531;2122;20;https://www.cencocal.cl/imagenes/0201531.jpg;;$1000 x KG
SALSA CARAMELO GOURMET 14x300g;REPOSTERIA;201532;2122;21;https://www.cencocal.cl/imagenes/0201532.jpg;;$1000 x KG
POLVO HORNEAR GOURMET 24x100g;REPOSTERIA;201533;842;10;https://www.cencocal.cl/imagenes/0201533.jpg;;$1000 x KG
SOPA GOUR. COSTI/FIDEOS 21x62g;INSTANTANEOS Y SOPAS;201535;420;24;https://www.cencocal.cl/imagenes/0201535.jpg;;$1000 x KG
SOPA GOUR. POLLO/FIDEO 21x70g;INSTANTANEOS Y SOPAS;201536;420;38;https://www.cencocal.cl/imagenes/0201536.jpg;;$1000 x KG
SOPA GOUR. CARACOLITOS 18x74g;INSTANTANEOS Y SOPAS;201539;420;36;https://www.cencocal.cl/imagenes/0201539.jpg;;$1000 x KG
SALSA ALFREDO GOURMET 25x41gr;SALSA DE TOMATE;201540;785;29;https://www.cencocal.cl/imagenes/0201540.jpg;;$1000 x KG
SALSA CARNE GOURMET 25x30gr;SALSA DE TOMATE;201541;785;20;https://www.cencocal.cl/imagenes/0201541.jpg;;$1000 x KG
SALSA BLANCA GOURMET 25x36gr;SALSA DE TOMATE;201542;785;24;https://www.cencocal.cl/imagenes/0201542.jpg;;$1000 x KG
BASE GOUR. PESCA.FRITO 20x80g;CALDOS Y BASES;201543;785;11;https://www.cencocal.cl/imagenes/0201543.jpg;;$1000 x KG
BASE GOUR. CHAPSUI 25x33g;CALDOS Y BASES;201544;785;47;https://www.cencocal.cl/imagenes/0201544.jpg;;$1000 x KG
BASE GOUR. CARNE CACER. 25x36g;CALDOS Y BASES;201545;785;1;https://www.cencocal.cl/imagenes/0201545.jpg;;$1000 x KG
GELATINA S/SABOR GOURMET 36x30;POSTRES PARA PREPARAR;201546;1316;21;https://www.cencocal.cl/imagenes/0201546.jpg;;$1000 x KG
MERENGUE POLVO GOURMET 18x180g;REPOSTERIA;201547;1856;3;https://www.cencocal.cl/imagenes/0201547.jpg;;$1000 x KG
P/MEZCLA CUPC/VAIN GOUR 10x300;REPOSTERIA;201548;2662;15;https://www.cencocal.cl/imagenes/0201548.jpg;;$1000 x KG
P/MEZCLA P/BROWNIE GOUR 10x300;REPOSTERIA;201550;2662;5;https://www.cencocal.cl/imagenes/0201550.jpg;;$1000 x KG
P/MEZ P/CUPC CHOC GOUR 10x300g;REPOSTERIA;201551;2662;13;https://www.cencocal.cl/imagenes/0201551.jpg;;$1000 x KG
COCO RALLADO BCO GOUR 18x100gr;REPOSTERIA;201552;1622;15;https://www.cencocal.cl/imagenes/0201552.jpg;;$1000 x KG
CREMA PASTELERA GOURMET 18x78g;REPOSTERIA;201553;755;25;https://www.cencocal.cl/imagenes/0201553.jpg;;$1000 x KG
CREMA CHANTIL LUC GOUR 18x56g;REPOSTERIA;201555;928;31;https://www.cencocal.cl/imagenes/0201555.jpg;;$1000 x KG
CREMA CHANTILLY GOURMET 18x60g;REPOSTERIA;201556;806;17;https://www.cencocal.cl/imagenes/0201556.jpg;;$1000 x KG
BASE GOUR. CEVICHE 25x30g;CALDOS Y BASES;201557;785;24;https://www.cencocal.cl/imagenes/0201557.jpg;;$1000 x KG
BIZCOCHO VAINILLA GOUR 8x500g;REPOSTERIA;201558;2662;26;https://www.cencocal.cl/imagenes/0201558.jpg;;$1000 x KG
SALSA CHAMPINONES GOUR 25x40g;SALSA DE TOMATE;201560;785;23;https://www.cencocal.cl/imagenes/0201560.jpg;;$1000 x KG
CREMA GOURMET ESPARRA. 21x68g;INSTANTANEOS Y SOPAS;201561;420;33;https://www.cencocal.cl/imagenes/0201561.jpg;;$1000 x KG
C. GOURMET ALBAHACA 50x6g;CONDIMENTOS;201562;296;11;https://www.cencocal.cl/imagenes/0201562.jpg;;$1000 x KG
